id,name,sector,subsector,tags,confidence,why
108,"Castelion",defence,defence_systems,"",high,"sells low-cost hypersonic strike weapons"
44,"Celestial AI",compute,photonics,"",high,"provides photonic fabric for AI memory interconnect"
22,"Chai Discovery",ai,ai_models,"",high,"offers AI foundation models for molecular design"
30,"Chroma",ai,ai_software,"",high,"provides vector database for AI applications"
3,"Cognition AI",ai,ai_software,"",high,"sells autonomous coding AI agent"
61,"Collaborative Robotics",industrial,robotics,"",high,"offers human‑centric collaborative mobile robots"
33,"Crusoe",ai,ai_infrastructure,"",high,"operates AI data centres and cloud services"
27,"Databricks",digital,software_platforms,"",high,"provides data and AI platform software"
14,"Decagon",ai,ai_software,"",high,"delivers AI customer‑support agents"
7,"Deepgram",ai,ai_software,"",high,"offers voice AI speech‑recognition API"
60,"Dexterity",industrial,robotics,"",high,"builds AI warehouse manipulation robots"
25,"ElevenLabs",ai,ai_software,"",high,"provides AI voice and audio generation"
80,"Epicrispr Biotechnologies",health,therapeutics,"",high,"develops epigenetic editing therapeutics"
102,"Epirus",defence,defence_systems,"",high,"sells high‑power microwave counter‑UAS system"
3245,"Estha",other,,"",low,"insufficient information to classify"
28,"Perplexity",ai,ai_software,"",high,"sells AI answer service"
57,"Physical Intelligence",ai,ai_models,"",high,"sells robot foundation model"
39,"Positron AI",compute,semiconductors,"",high,"sells transformer inference accelerator hardware"
70,"PsiQuantum",compute,quantum,"",high,"sells photonic fault-tolerant quantum computers"
47,"Quilter",ai,ai_software,"",high,"sells AI-driven automated PCB design software"
87,"RayThera",health,therapeutics,"",high,"sells small-molecule immunology therapeutics"
21,"Replicate",ai,ai_infrastructure,"",high,"sells API for deploying open-source models"
40,"SambaNova Systems",compute,semiconductors,"",high,"sells AI chips and systems"
71,"SandboxAQ",digital,cybersecurity,"",medium,"sells quantum‑AI security and sensing solutions"
79,"Science Corporation",health,medtech_devices,"",high,"sells neural interface medical devices"
99,"Shield AI",defence,defence_systems,"",high,"sells autonomous AI for defense drones"
52,"SiFive",compute,semiconductors,"",high,"sells RISC‑V processor IP"
13,"Sierra",ai,ai_software,"",high,"sells enterprise conversational AI agents"
77,"Sila Nanotechnologies",industrial,materials_energy,"",high,"sells silicon anode battery material"
58,"Skild AI",ai,ai_models,"",high,"sells omni‑bodied robot foundation model"
42,"Lightmatter",compute,photonics,"",high,"Photonic interconnect components for AI hardware."
11,"Luma AI",ai,ai_models,"",high,"Multimodal photo and video foundation models."
48,"Lumotive",compute,photonics,"",high,"Programmable optical beam-steering chips."
107,"Mach Industries",defence,defence_systems,"",high,"Vertically integrated military defence manufacturing."
38,"MatX",compute,semiconductors,"",high,"Custom AI accelerator chips for large language models."
67,"Matic",industrial,robotics,"",high,"Autonomous home cleaning robotics."
6,"Mercor",commerce,commerce_marketplaces,"",high,"Marketplace connecting developers and data talent with AI companies."
96,"Moon Surgical",health,medtech_devices,"",high,"Robotic assistance platforms for surgical procedures."
109,"Neros Technologies",defence,defence_systems,"",high,"Mass-produced military FPV drones."
78,"Neuralink",health,medtech_devices,"",high,"Implantable brain-computer interfaces and neural devices."
20,"Nexthop AI",digital,networking_connectivity,"",high,"Networking infrastructure optimized for AI workloads."
95,"Noah Medical",health,medtech_devices,"",high,"Robotic surgical systems for pulmonary bronchoscopy."
68,"Nuro",industrial,robotics,"",high,"Autonomous self-driving delivery vehicles."
105,"Overland AI",defence,defence_software,"",high,"Mission autonomy software for off-road military vehicles."
12,"Parallel",ai,ai_software,"",high,"Web infrastructure and developer tools for AI agents."
85,"Actio Biosciences",health,therapeutics,"",high,"precision therapies for genetic diseases"
65,"Ambi Robotics",industrial,robotics,"",high,"AI parcel sorting robots for logistics"
98,"Anduril Industries",defence,defence_systems,"",high,"autonomous defence hardware and software"
1,"Anthropic",ai,ai_models,"",high,"frontier AI foundation model lab"
2,"Anysphere",ai,ai_software,"",high,"AI coding assistant application software"
74,"Apex Space",aerospace,space,"",high,"mass-produced satellite bus platform manufacturing"
101,"Applied Intuition",industrial,robotics,"",high,"dual-use autonomy and vehicle software platform"
72,"Atom Computing",compute,quantum,"",high,"neutral-atom quantum computing developer"
43,"Ayar Labs",compute,photonics,"",high,"optical I/O chiplets for optical interconnect"
32,"Baseten",ai,ai_infrastructure,"",high,"model inference serving infrastructure platform"
17,"Braintrust",ai,ai_software,"",high,"AI evaluation and observability software platform"
62,"Bright Machines",industrial,robotics,"",high,"robotic factory automation and assembly systems"
103,"CHAOS Industries",defence,defence_systems,"",high,"advanced radar systems for missile defence"
104,"CX2",defence,defence_systems,"",high,"AI-enabled electronic warfare systems for defence"
91,"Capstan Medical",health,medtech_devices,"",high,"surgical robotics for heart valve implants"
50,"Rivos",compute,semiconductors,"",high,"sells RISC‑V server silicon"
89,"Sidewinder Therapeutics",health,therapeutics,"",high,"produces bispecific antibody‑drug conjugates"
26,"Sprinter Health",health,healthcare_services,"",high,"provides in‑home nursing and care"
63,"Standard Bots",industrial,robotics,"",high,"offers affordable 6‑axis robotic arms"
3998,"Tempo Therapeutics, Inc.",health,therapeutics,"",low,"biotech firm likely developing drug candidates"
90,"Terray Therapeutics",health,therapeutics,"",high,"uses AI for small‑molecule drug discovery"
112,"Vannevar Labs",defence,defence_software,"",high,"AI software for national‑security applications"
51,"Ventana Micro Systems",compute,semiconductors,"",high,"produces RISC‑V datacenter CPUs"
92,"Virtual Incision",health,medtech_devices,"",high,"manufactures miniaturized surgical robot"
24,"Xaira Therapeutics",health,biotech_platforms,"",medium,"offers AI‑driven drug discovery platform"
37,"Etched",compute,semiconductors,"",high,"Sells transformer-only inference ASIC"
59,"Field AI",industrial,robotics,"",high,"Sells field-robotics brain software"
56,"Figure AI",industrial,robotics,"",high,"Sells general-purpose humanoid robots"
106,"Firestorm Labs",aerospace,space,"",high,"Sells expeditionary 3D-printed modular drones"
5,"Fireworks AI",ai,ai_infrastructure,"",high,"Sells fast inference platform for gen-AI"
97,"Freenome",health,therapeutics,"",high,"Sells blood-based cancer screening"
10,"Genspark",ai,ai_software,"",high,"Sells all-in-one AI agent workspace"
31,"Glean",ai,ai_software,"",high,"Sells enterprise AI search and agents"
111,"Hadrian",industrial,advanced_manufacturing,"",high,"Sells AI-automated precision-parts factories"
15,"Harvey",ai,ai_software,"",high,"Sells legal AI platform"
16,"Hebbia",ai,ai_software,"",high,"Sells AI document search for finance and legal"
9,"Hippocratic AI",health,digital_health,"",high,"Sells healthcare AI agents for patient calls"
55,"Kinetic Technologies",compute,semiconductors,"",high,"Sells automotive and power semiconductors"
34,"Lambda",ai,ai_infrastructure,"",high,"Sells GPU cloud for AI training"
29,"LangChain",ai,ai_software,"",high,"Sells agent orchestration and dev tools"
100,"Skydio",defence,defence_systems,"",medium,"Autonomous ISR drones sold to defence and public safety customers"
18,"Temporal",ai,ai_software,"",high,"Agent orchestration and workflow software sold to developers"
41,"Tenstorrent",compute,semiconductors,"",high,"RISC-V CPU and chiplet AI accelerator design"
4,"Together AI",ai,ai_infrastructure,"",high,"GPU cloud capacity for serving open-source AI models"
8,"Twelve Labs",ai,ai_models,"",high,"Video-understanding foundation models sold as an API"
73,"Varda Space Industries",aerospace,space,"",high,"In-space manufacturing and reentry capsules are space systems"
93,"XCath",health,medtech_devices,"",high,"Neurovascular surgical robotics is a medical device"
69,"Zipline",industrial,robotics,"",high,"Civil drone delivery is delivery robotics"
35,"d-Matrix",compute,semiconductors,"",high,"In-memory compute AI inference chip design"
64,"Amp Robotics",industrial,robotics,"",high,"Recycling sorting robots are industrial robotics"
