id,name,description,website,current_sectors,live
85,"Actio Biosciences","Precision therapies for genetic diseases","actiobio.com","therapeutics",true
65,"Ambi Robotics","AI parcel sorting robots","ambirobotics.com","robotics",true
98,"Anduril Industries","Autonomous defence systems and Lattice AI","anduril.com","defence_systems|defence_software",true
1,"Anthropic","Frontier foundation-model lab (Claude)","anthropic.com","ai_models",true
2,"Anysphere","AI coding assistant (Cursor)","cursor.com","ai_software",true
101,"Applied Intuition","Dual-use autonomy and vehicle software","appliedintuition.com","defence_software|robotics|ai_software",true
32,"Baseten","Model inference infrastructure","baseten.co","ai_infrastructure|ai_software",true
17,"Braintrust","AI eval and observability platform","braintrust.dev","ai_software",true
62,"Bright Machines","Robotic factory automation with vision","brightmachines.com","advanced_manufacturing|robotics",true
103,"CHAOS Industries","Advanced radar for air and missile defence","chaosinc.com","defence_systems",true
108,"Castelion","Low-cost hypersonic strike weapons","castelion.com","defence_systems",true
22,"Chai Discovery","AI foundation models for molecular design","chaidiscovery.com","ai_models|therapeutics",true
30,"Chroma","Vector database for AI apps","trychroma.com","ai_software",true
3,"Cognition AI","Autonomous coding agent (Devin); absorbed Windsurf business","cognition.ai","ai_software",true
61,"Collaborative Robotics","Human-centric collaborative mobile robots","co.bot","robotics",true
33,"Crusoe","AI data centers and cloud","crusoe.ai","ai_infrastructure",true
173,"Dare Bioscience, Inc.","Website: Daré Bioscience — At Daré Bioscience, women’s health is our mission. From clinical trials and non-hormonal contraception to therapies for menopause and vaginal dryness to vaginal health, our research is evidence-based and built exclusively for women. Dare Bioscience, Inc.: Daré Bioscience to Host Th","darebioscience.com","therapeutics",true
27,"Databricks","Data and AI platform","databricks.com","ai_software",true
14,"Decagon","AI customer-support agents","decagon.ai","ai_software",true
7,"Deepgram","Voice AI / speech recognition API","deepgram.com","ai_software",true
60,"Dexterity","AI warehouse manipulation robots","dexterity.ai","robotics",true
25,"ElevenLabs","AI voice and audio generation","elevenlabs.io","ai_models|ai_software",true
179,"Ensysce Biosciences, Inc.","Website: Home - Ensysce Biosciences","ensysce.com","therapeutics",true
80,"Epicrispr Biotechnologies","Epigenetic editing therapeutics","epicrispr.com","therapeutics",true
37,"Etched","Transformer-only inference ASIC (Sohu)","etched.com","semiconductors",true
59,"Field AI","Field-robotics brain software for any robot","fieldai.com","robotics|ai_software",true
56,"Figure AI","General-purpose humanoid robots","figure.ai","robotics",true
106,"Firestorm Labs","Expeditionary 3D-printed modular drones","launchfirestorm.com","defence_systems",true
5,"Fireworks AI","Fast inference platform for gen-AI","fireworks.ai","ai_infrastructure|ai_software",true
97,"Freenome","Blood-based cancer screening","freenome.com","medtech_devices",true
10,"Genspark","All-in-one AI agent workspace","genspark.ai","ai_software",true
31,"Glean","Enterprise AI search and agents","glean.com","ai_software",true
111,"Hadrian","AI-automated precision-parts factories","hadrian.co","advanced_manufacturing|defence_systems",true
15,"Harvey","Legal AI platform","harvey.ai","ai_software",true
16,"Hebbia","AI document search for finance and legal","hebbia.ai","ai_software",true
9,"Hippocratic AI","Healthcare AI agents for patient calls","hippocraticai.com","ai_software|digital_health",true
55,"Kinetic Technologies","Automotive and power semiconductors","kinet-ic.com","semiconductors",true
34,"Lambda","GPU cloud for AI training","lambda.ai","ai_infrastructure",true
29,"LangChain","Agent orchestration and dev tools","langchain.com","ai_software",true
42,"Lightmatter","Photonic interconnect for AI","lightmatter.co","photonics",true
11,"Luma AI","Multimodal photo/video generation models","lumalabs.ai","ai_models",true
48,"Lumotive","Programmable optical beam-steering chips","lumotive.com","photonics",true
38,"MatX","LLM-optimized AI chips","matx.com","semiconductors",true
67,"Matic","Autonomous home robots","maticrobots.com","robotics",true
6,"Mercor","AI talent and data-labeling marketplace","mercor.com","ai_software",true
96,"Moon Surgical","Surgical assistance robot Maestro","moonsurgical.com","medtech_devices",true
109,"Neros Technologies","Mass-produced NDAA-compliant FPV drones","neros.tech","defence_systems",true
78,"Neuralink","Brain-computer interfaces","neuralink.com","medtech_devices",true
20,"Nexthop AI","AI networking infrastructure","nexthop.ai","ai_infrastructure",true
95,"Noah Medical","Surgical robotics for bronchoscopy","noahmed.com","medtech_devices",true
68,"Nuro","Autonomous delivery and licensing","nuro.ai","robotics",true
12,"Parallel","Web infrastructure for AI agents","parallel.ai","ai_software",true
28,"Perplexity","AI answer engine","perplexity.ai","ai_software",true
57,"Physical Intelligence","Robot foundation models cross-embodiment","physicalintelligence.company","ai_models|robotics",true
70,"PsiQuantum","Photonic fault-tolerant quantum computing","psiquantum.com","quantum",true
47,"Quilter","Physics-AI automated PCB design","quilter.ai","ai_software",true
21,"Replicate","Run and deploy open-source models via API","replicate.com","ai_infrastructure|ai_software",true
40,"SambaNova Systems","Dataflow AI chips and systems","sambanova.ai","semiconductors",true
71,"SandboxAQ","Quantum plus AI for security and sensing","sandboxaq.com","quantum|ai_software",true
99,"Shield AI","Autonomous pilot AI Hivemind and V-BAT","shield.ai","defence_systems|defence_software",true
52,"SiFive","RISC-V processor IP","sifive.com","semiconductors",true
13,"Sierra","Enterprise conversational-AI agents","sierra.ai","ai_software",true
77,"Sila Nanotechnologies","Silicon anode battery materials","silanano.com","materials_energy",true
58,"Skild AI","Omni-bodied robot foundation model","skild.ai","ai_models|robotics",true
100,"Skydio","Autonomous drones defence and public safety","skydio.com","defence_systems",true
18,"Temporal","Durable execution and orchestration for agents","temporal.io","ai_software",true
41,"Tenstorrent","RISC-V and chiplet AI compute","tenstorrent.com","semiconductors",true
4,"Together AI","Cloud infra for open-source AI models","together.ai","ai_infrastructure",true
8,"Twelve Labs","Video-understanding AI models","twelvelabs.io","ai_models",true
69,"Zipline","Drone delivery logistics","flyzipline.com","robotics",true
35,"d-Matrix","In-memory compute AI inference chips","d-matrix.ai","semiconductors",true
113,"137 Holdings ISII, LLC","Form D industry group: Pooled Investment Fund","","investment_funds",false
114,"37360NSR-AZ, LLC","Form D industry group: Commercial","","real_estate",false
115,"5596OSH-NY, LLC","Form D industry group: Commercial","","real_estate",false
116,"ADELANTO LANDOWNER TWO, LLC","Form D industry group: Commercial","","real_estate",false
164,"AE-0722 Fund I, a series of Roll Up Vehicles, LP","Form D industry group: Pooled Investment Fund","","investment_funds",false
117,"AH Drinkwater Holdings, LLC","Form D industry group: Lodging and Conventions","","real_estate",false
