name,geography,hq_city,hq_state,sector,round_stage,amount_musd,found_in
"World Labs",bay_area,"San Francisco",CA,ai_models,,,"SiliconANGLE: Fei-Fei Li’s World Labs debuts Atlas, a world model showcase for advanced spatial intelligence"
"Gupshup",bay_area,"San Francisco",CA,ai_software,,,"Tech in Asia: India’s Gupshup rolls out self-service Voice AI platform"
"Instinct",bay_area,"San Francisco",CA,ai_software,,350,"TechCrunch: Viral AI startup Instinct has raised $350M at a $2.5B valuation"
"Rillet",bay_area,"San Francisco",CA,ai_software,growth,100,"TechCrunch — Venture: How AI accounting startup Rillet raised $100M and became a unicorn in 48 hours"
"Heritage Grocers Group",bay_area,"Ontario",CA,commerce_marketplaces,,,"Supply Chain Dive: Heritage Grocers appoints logistics executive"
"Cloudflare",bay_area,"San Francisco",CA,cybersecurity,,,"SiliconANGLE: Cloudflare launches Adaptive Intelligence to rewrite bot rules on the fly"
"Palo Alto Networks",bay_area,"Santa Clara",CA,cybersecurity,,,"CNBC — Technology: Palo Alto Networks beats quarterly estimates on AI demand, continues acquisition spree"
"Metriport",bay_area,"San Francisco",CA,digital_health,series_a,26,"Endpoints News: Metriport raises $26M to help doctors retrieve patient data"
"BitGo",bay_area,"Palo Alto",CA,fintech,,,"Tech in Asia: US crypto custody firm BitGo to buy NYDIG unit for $42.5m"
"Félix",bay_area,"San Francisco",CA,fintech,series_c,200,"Techmeme: Félix, an AI-powered WhatsApp remittance platform focused on Latinos in the US, raised a $200M Series C co-led by a16z and GC, including $113M in debt (Mary Ann Azevedo/Crunchbase News)"
"Moomoo",bay_area,"Palo Alto",CA,fintech,,,"Business Insider — Markets: Moomoo Launches Massive OOH Campaign in NYC to Highlight New ""Moomoo Engine"""
"Andreessen Horowitz",bay_area,"Menlo Park",CA,investment_funds,,,"TechFundingNews: a16z expands Growth fund to $8.5B after backing Databricks, OpenAI, SpaceX and others"
"SB Energy",bay_area,"Redwood City",CA,materials_energy,,,"CNBC — Technology: Softbank's SB Energy files for IPO, says it's 'substantially dependent' on OpenAI"
"Medtronic MiniMed",bay_area,"Northridge",CA,medtech_devices,,,"MedTech Dive: MiniMed submits new patch pump for FDA clearance"
"GoPro",bay_area,"San Mateo",CA,other,,,"TechCrunch: GoPro to be acquired for $285M, will remain a public company"
"Granite Construction",bay_area,"Watsonville",CA,other,,,"Business Wire — High Tech: Granite Awarded Burke-Gilman Trail Project in Seattle"
"Carbon Robotics",bay_area,"Mountain View",CA,robotics,,,"The Robot Report: Carbon Robotics partners with iMerit to power instant in-field AI customization"
"Gatik",bay_area,"Mountain View",CA,robotics,,200,"TechCrunch — Fundraising: Self-driving truck startup Gatik raises $200M following PepsiCo deal"
"General Intuition",bay_area,"San Francisco",CA,robotics,,,"TechCrunch — Venture: Valor, Point72 back General Intuition at $6B valuation as AI startup pushes into robotics"
"AMD",bay_area,"Santa Clara",CA,semiconductors,,,"Fierce Electronics: AMD goes big on robots, physical AI with X100 SoC, open software and partnerships"
"Broadcom",bay_area,"San Jose",CA,semiconductors,,,"The Register: Broadcom pledges to lock down open source Python, Java libraries"
"Celera Semiconductor",bay_area,"San Jose",CA,semiconductors,series_b,30,"Semiconductor Digest: Celera Semiconductor Announces the Closing of a $30M Series B Financing Round"
"Menlo Microsystems",bay_area,"Santa Clara",CA,semiconductors,,,"Semiconductor Digest: Menlo Microsystems Appoints Richard Simoncic as Chief Executive Officer"
"Navitas Semiconductor",bay_area,"Santa Clara",CA,semiconductors,,,"Semiconductor Digest: Navitas Delivers Latest Gen 5 GaNFast Manufactured in the U.S. Through GlobalFoundries Partnership"
"Owner",bay_area,"Palo Alto",CA,software_platforms,series_d,240,"SiliconANGLE: Owner raises $240M for its restaurant management platform"
"VMware",bay_area,"Palo Alto",CA,software_platforms,,,"The Register: VMware uses Nvidia-favored 'AI factory' brand to build something with rival AMD"
"LeoLabs",bay_area,"Menlo Park",CA,space,,,"Payload Space: LeoLabs Wins $20.68M Space Force Award for Scout"
"Cytokinetics",bay_area,"South San Francisco",CA,therapeutics,,,"STAT News: STAT+: Cytokinetics details trial win for what could be its next approval"
"Electra Therapeutics",bay_area,"South San Francisco",CA,therapeutics,,,"Fierce Biotech: Electra aims to light up Nasdaq with IPO for phase 2/3 I&I push"
"Genentech",bay_area,"South San Francisco",CA,therapeutics,,,"Fierce Biotech: Genentech doubles down on ADC-resistant cancers with $1B DualityBio pact"
"Revolution Medicines",bay_area,"Redwood City",CA,therapeutics,,,"Genetic Engineering News: StockWatch: Revolution Shares Stay Flat Despite Historic FDA Approval of Oral Pancreatic Cancer Therapy"
"Komatsu",non_us,"Tokyo",Japan,advanced_manufacturing,,,"Nikkei Asia: Komatsu to triple size of US maintenance hub amid AI copper rush"
"Qnity",non_us,"",,advanced_manufacturing,,,"Semiconductor Digest: Qnity Introduces Stackplane CMP Slurry Platform for Advanced Packaging"
"Bombardier",non_us,"Montreal",Canada,aerospace,,,"CNA — Business: Bombardier to buy Canadian factory from supplier Mitsubishi Heavy Industries"
"Alibaba Cloud",non_us,"Hangzhou",China,ai_infrastructure,,,"Tech in Asia: Alibaba Cloud backs Malaysia’s AI untuk Rakyat"
"Aranya",non_us,"",,ai_infrastructure,,11,"SiliconANGLE: Aranya raises $11M to turn bare-metal servers into AI clusters in less than 48 hours"
"MiniMax",non_us,"Shanghai",China,ai_infrastructure,,,"South China Morning Post — Business: MiniMax expands Alibaba cloud pact as compute needs surge for training and inference"
"Neocloud Lambda",non_us,"",,ai_infrastructure,,1000,"TechCrunch — Fundraising: Neocloud Lambda secures $1B in debt to buy more chips"
"DeepSeek",non_us,"Beijing",China,ai_models,,,"CNBC — Technology: DeepSeek looks for fresh capital as founder’s quant empire navigates China’s choppy IPO market"
"Frontier AI Labs",non_us,"",,ai_models,,,"TechCrunch — Security: Frontier AI labs still won’t say how they’d contain a rogue model"
"Moonshot AI",non_us,"Singapore",Singapore,ai_models,,,"Tech in Asia: Moonshot AI explores K3 deals with Microsoft, Amazon, Google"
"Phonely",non_us,"",,ai_models,,,"SiliconANGLE: Phonely launches Alma, a voice AI model trained on 10M+ phone conversations"
"iFlytek",non_us,"Hefei",China,ai_models,,,"Tech in Asia: China’s iFlytek to open-source 2 edge AI models in September"
"AI Fiesta",non_us,"",,ai_software,,,"Tech in Asia: Indian consumer app AI Fiesta expands in Southeast Asia"
"Agentrys",non_us,"",,ai_software,,25,"Semiconductor Digest: Agentrys Raises $24.5 Million to Build Agentic Design Automation for Chipmakers"
"Baidu",non_us,"Beijing",China,ai_software,,,"Nikkei Asia: Baidu's Hong Kong listing upgrade opens path to mainland capital"
