name,hq_country,hq_city,apac_office,source,as_of
"Sequoia Capital","United States","Menlo Park","","CB Insights","2026-09-09"
"Andreessen Horowitz","United States","Menlo Park","","CB Insights","2026-09-09"
"NVIDIA","United States","Santa Clara","","CB Insights","2026-09-09"
"Bessemer Venture Partners","United States","San Francisco","","CB Insights","2026-09-09"
"Fidelity Investments","United States","Boston","","CB Insights","2026-09-09"
"NVentures","United States","Santa Clara","","CB Insights","2026-09-09"
"General Catalyst","United States","San Francisco","","CB Insights","2026-09-09"
"Lux Capital","United States","New York","","CB Insights","2026-09-09"
"Kleiner Perkins","United States","Menlo Park","","CB Insights","2026-09-09"
"Tiger Global Management","United States","New York","","CB Insights","2026-09-09"
"Index Ventures","United Kingdom","London","","CB Insights","2026-09-09"
"Lightspeed","United States","Menlo Park","","CB Insights","2026-09-09"
"Lightspeed Venture Partners","United States","Menlo Park","","CB Insights","2026-09-09"
"T. Rowe Price","United States","Baltimore","","CB Insights","2026-09-09"
"Alumni Ventures","United States","Manchester","","CB Insights","2026-09-09"
"BlackRock","United States","New York","","CB Insights","2026-09-09"
"Intel","United States","Santa Clara","","CB Insights","2026-09-09"
"NEA","United States","Menlo Park","","CB Insights","2026-09-09"
"Coatue","United States","New York","","CB Insights","2026-09-09"
"Founders Fund","United States","San Francisco","","CB Insights","2026-09-09"
"Salesforce Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"IQT","United States","McLean","","CB Insights","2026-09-09"
"Khosla Ventures","United States","Menlo Park","","CB Insights","2026-09-09"
"SV Angel","United States","San Francisco","","CB Insights","2026-09-09"
"Benchmark","United States","San Francisco","","CB Insights","2026-09-09"
"BoxGroup","United States","New York","","CB Insights","2026-09-09"
"DST Global","Cayman Islands","Grand Cayman","","CB Insights","2026-09-09"
"GV","United States","Mountain View","","CB Insights","2026-09-09"
"Menlo Ventures","United States","Menlo Park","","CB Insights","2026-09-09"
"SK Telecom Ventures","United States","Sunnyvale","","CB Insights","2026-09-09"
"Valor Equity Partners","United States","Chicago","","CB Insights","2026-09-09"
"Bain Capital Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"Battery Ventures","United States","Boston","","CB Insights","2026-09-09"
"CapitalG","United States","San Francisco","","CB Insights","2026-09-09"
"Craft Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"Sapphire Ventures","United States","Austin","","CB Insights","2026-09-09"
"137 Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"8VC","United States","Austin","","CB Insights","2026-09-09"
"Baillie Gifford","United Kingdom","Edinburgh","","CB Insights","2026-09-09"
"Bezos Expeditions","United States","Mercer Island","","CB Insights","2026-09-09"
"DCVC","United States","Palo Alto","","CB Insights","2026-09-09"
"Databricks Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"Goldman Sachs","United States","New York","","CB Insights","2026-09-09"
"Institutional Venture Partners","United States","Menlo Park","","CB Insights","2026-09-09"
"JPMorganChase","United States","New York","","CB Insights","2026-09-09"
"Liquid 2 Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"Macquarie","Australia","Sydney","","CB Insights","2026-09-09"
"Qualcomm","United States","San Diego","","CB Insights","2026-09-09"
"Qatar Investment Authority","Qatar","Doha","","CB Insights","2026-09-09"
"Redpoint Ventures","United States","San Francisco","","CB Insights","2026-09-09"
"Saraswati Ventures","India","Mumbai","","CB Insights","2026-09-09"
"Section 32","United States","San Diego","","CB Insights","2026-09-09"
"Wellington Management","United States","Boston","","CB Insights","2026-09-09"
"Y Combinator","United States","Mountain View","","CB Insights","2026-09-09"
"1789 Capital","United States","Palm Beach","","CB Insights","2026-09-09"
"Accel","United States","Palo Alto","","CB Insights","2026-09-09"
"Altimeter Capital","United States","Boston","","CB Insights","2026-09-09"
"Atreides Management","United States","Boston","","CB Insights","2026-09-09"
"Blackstone","United States","New York","","CB Insights","2026-09-09"
"Blanck Capital","United States","New York","","CB Insights","2026-09-09"
"Canonical Crypto","United States","San Francisco","","CB Insights","2026-09-09"
"Eclipse","United States","Palo Alto","","CB Insights","2026-09-09"
"Fabrica Ventures","United States","Palo Alto","","CB Insights","2026-09-09"
"First Round Capital","United States","Philadelphia","","CB Insights","2026-09-09"
"Franklin Templeton","United States","San Mateo","","CB Insights","2026-09-09"
"Gaingels","United States","Burlington","","CB Insights","2026-09-09"
"General Atlantic","United States","New York","","CB Insights","2026-09-09"
"Geodesic Capital","United States","Foster City","","CB Insights","2026-09-09"
"Guillermo Rauch","United States","San Francisco","","CB Insights","2026-09-09"
"ICONIQ Capital","United States","San Francisco","","CB Insights","2026-09-09"
"J.P. Morgan","United States","New York","","CB Insights","2026-09-09"
"J12","Sweden","Stockholm","","CB Insights","2026-09-09"
"Long Journey Ventures","United States","San Francisco","","CB Insights","2026-09-09"
