name,aliases,sectors,hq_city,hq_state,hq_region,website,round_stage,round_amount_musd,round_val_musd,round_date,headcount_est,description,sg_apac,familiarity,ats_type,ats_slug,flags,notes
Anthropic,Anthropic PBC,ai,San Francisco,CA,bay_area,anthropic.com,multiple,1000,,2025,2000,Frontier foundation-model lab (Claude),investor:GIC|investor:Temasek,no_status,greenhouse,,,
Anysphere,Cursor,ai,San Francisco,CA,bay_area,cursor.com,unknown,2300,29300,2025-11,300,AI coding assistant (Cursor),,no_status,,,verify_independence,VERIFY: SpaceX acquisition reported 2026 - check independence before load
Cognition AI,Cognition|Cognition Labs,ai,San Francisco,CA,bay_area,cognition.ai,unknown,,10200,2025,200,Autonomous coding agent (Devin); absorbed Windsurf business,,no_status,,,,
Together AI,Together Computer,ai,San Francisco,CA,bay_area,together.ai,series_b,305,,2025-02,300,Cloud infra for open-source AI models,,no_status,,,,
Fireworks AI,Fireworks|Fireworks.ai,ai,Redwood City,CA,bay_area,fireworks.ai,unknown,1500,,2026-07,200,Fast inference platform for gen-AI,,no_status,,,verify_round,
Mercor,,ai,San Francisco,CA,bay_area,mercor.com,series_c,350,,2025,200,AI talent and data-labeling marketplace,,no_status,,,,
Deepgram,,ai,San Francisco,CA,bay_area,deepgram.com,series_c,130,,2026-01,200,Voice AI / speech recognition API,,no_status,,,,
Twelve Labs,TwelveLabs,ai,San Francisco,CA,bay_area,twelvelabs.io,series_b,100,,2025,100,Video-understanding AI models,investor:Naver,no_status,,,,
Hippocratic AI,Hippocratic,ai|biotech,Palo Alto,CA,bay_area,hippocraticai.com,series_c,126,3500,2025,200,Healthcare AI agents for patient calls,,no_status,,,,
Genspark,,ai,Palo Alto,CA,bay_area,genspark.ai,series_b,275,1250,2025-11,100,All-in-one AI agent workspace,investor:SBI Investment,no_status,,,,
Luma AI,Luma Labs|Luma,ai,Palo Alto,CA,bay_area,lumalabs.ai,series_c,900,4000,2025,100,Multimodal photo/video generation models,,no_status,,,,
Parallel,,ai,San Francisco,CA,bay_area,parallel.ai,series_a,100,,2025-11,50,Web infrastructure for AI agents,,no_status,,,,
Sierra,Sierra AI,ai,San Francisco,CA,bay_area,sierra.ai,unknown,350,10000,2025-10,200,Enterprise conversational-AI agents,,no_status,,,verify_round|memory_filled,
Decagon,Decagon AI,ai,San Francisco,CA,bay_area,decagon.ai,series_c,131,1500,2025-06,100,AI customer-support agents,,no_status,,,verify_round|memory_filled,
Harvey,Harvey AI,ai,San Francisco,CA,bay_area,harvey.ai,series_e,300,5000,2025-06,300,Legal AI platform,investor?:GIC|investor?:Temasek,no_status,,,verify_round|memory_filled,VERIFY round and SG investor claim
Hebbia,,ai,New York,NY,other_us,hebbia.ai,series_b,130,700,2025-06,100,AI document search for finance and legal,,no_status,,,,
Braintrust,,ai,San Francisco,CA,bay_area,braintrust.dev,series_b,80,800,2025,50,AI eval and observability platform,,no_status,,,verify_round,
Temporal,,ai,Seattle,WA,seattle,temporal.io,series_d,300,5000,2026-02,300,Durable execution and orchestration for agents,investor?:GIC,no_status,,,verify_hq,VERIFY HQ Seattle vs Bellevue
Assort Health,,ai|biotech,San Francisco,CA,bay_area,assorthealth.com,series_c,120,1200,2026,100,Healthcare voice-AI agentic ops,,no_status,,,,
Nexthop AI,,ai|deeptech,Santa Clara,CA,bay_area,nexthop.ai,series_b,500,,2026,100,AI networking infrastructure,,no_status,,,verify_hq,
Replicate,,ai,San Francisco,CA,bay_area,replicate.com,series_b,40,,2024,50,Run and deploy open-source models via API,,no_status,,,,
Chai Discovery,,ai|biotech,San Francisco,CA,bay_area,chaidiscovery.com,series_b,130,1300,2025-12,30,AI foundation models for molecular design,,no_status,,,,
EvolutionaryScale,Evolutionary Scale,ai|biotech,New York,NY,other_us,evolutionaryscale.ai,launch,,,2024,50,Protein-design foundation models (ESM3),,no_status,,,verify_hq,
Xaira Therapeutics,Xaira,ai|biotech,South San Francisco,CA,bay_area,xaira.com,series_a,1000,,2024,200,AI-driven drug discovery platform,,no_status,,,,
