name,total_raised_musd,valuation_musd,round_stage,round_date,headcount,founded_year,hq_city,website,investors,notes,source,as_of
Daiichi Life,,,,,,1902,Tokyo,dai-ichi-life.co.jp,,"cbi_org_id=489000; matched on the Dai-ichi Life alternate (life insurer, Tokyo, founded 1902); listed, so funding and market cap left blank",CB Insights,2026-09-08
Databricks,,190000,series_l,2026-08,,2013,San Francisco,databricks.com,"Coatue, Andreessen Horowitz, Thrive Capital","cbi_org_id=119632; matched on website databricks.com; Series L-II $5B at $185-190B, Aug 2026",CB Insights,2026-09-08
Dexterity,,1650,series_c,2026-06,,2017,Redwood City,dexterity.ai,"Lightspeed, Matter Venture Partners, Millennia Capital","cbi_org_id=482099; matched on website dexterity.ai; valuation $1.65B is from the Mar 2025 Series C, latest priced round",CB Insights,2026-09-08
Diffraqtion,5,100,seed,2026-08,,2024,Somerville,diffraqtion.com,"ADIN, Aether VC, Collaborative Fund, Lockheed Martin Ventures, Plug and Play",cbi_org_id=10354716; matched on the quantum-camera description plus 2024 founding; NOTE headline says >$10M but CBI total funding is $5.45M across pre-seed rounds; valuation $100M from the Mar 2026 pre-seed III,CB Insights,2026-09-08
DuckLabs,,,,,,2021,Amsterdam,ducklabs.com,Amazon Web Services,"cbi_org_id=12995466; matched on website ducklabs.com and the AWS acquisition in the headline (acquired Aug 2026); no funding rounds, acquisition only",CB Insights,2026-09-08
Duke Energy,,,,,,1904,Charlotte,duke-energy.com,,"cbi_org_id=489020; matched on name (website dukeenergy.com failed, CBI holds duke-energy.com); listed, so funding and market cap left blank",CB Insights,2026-09-08
Easy Aerial,26,,series_b,2026-08,,2015,Brooklyn,easyaerial.com,"Entree Capital, Insight Partners",cbi_org_id=517956; matched on the $20M Series B in the headline (2026-08-31),CB Insights,2026-09-08
Electra Therapeutics,267,,series_c,2025-10,,2018,South San Francisco,electra-therapeutics.com,"EQT Life Sciences, Nextech, OrbiMed, RA Capital Management, Redmile Group","cbi_org_id=832995; matched on website electra-therapeutics.com; IPO is Pending as of 2026-08-28 so still private, last priced round is the $183M Series C",CB Insights,2026-09-08
ElevenLabs,843,11000,series_d,2026-02,,2022,New York,elevenlabs.io,"Andreessen Horowitz, ICONIQ Capital, Sequoia Capital",cbi_org_id=975661; matched on website elevenlabs.io; valuation $11B from the Feb 2026 Series D,CB Insights,2026-09-08
Epicrispr Biotechnologies,213,,series_c,2026-08,,2018,South San Francisco,epicrispr.com,"Janus Henderson Investors, Octagon Capital, Fidelity Investments, Sanofi Ventures",cbi_org_id=911747; matched on website epicrispr.com; no valuation disclosed on any round,CB Insights,2026-09-08
Equinix,,,,,,1998,Redwood City,equinix.com,,"cbi_org_id=57700; matched on the Equinix alternate carrying equinix.com and IPO status (name alone returned the equinix.sg regional entity); listed, so funding and market cap left blank",CB Insights,2026-09-08
Etched,1630,21000,series_d,2026-08,,2022,San Jose,etched.com,"Jane Street Group, Andreessen Horowitz, Sequoia Capital, Kleiner Perkins",cbi_org_id=1048356; matched on website etched.com; valuation $21B from the Aug 2026 Series D,CB Insights,2026-09-08
Evonik,,,,,,2007,Essen,evonik.com,,"cbi_org_id=222133; matched on name plus Essen HQ and specialty-chemicals description; listed (EVK.DE), so funding and market cap left blank",CB Insights,2026-09-08
Faraday Future,,,,,,2014,El Segundo,ff.com,,"cbi_org_id=185274; matched on the El Segundo EV maker profile (CBI holds ff.com, not faradayfuture.com); listed (FFAI), so funding and market cap left blank",CB Insights,2026-09-08
GE Aerospace,,,,,,1892,Cincinnati,geaerospace.com,,"cbi_org_id=217684; matched on the GE Aerospace alternate (name alone did not resolve); listed, so funding and market cap left blank; same entity as our separate GE row, the two look like duplicates",CB Insights,2026-09-08
GRSE,,,,,,,Kolkata,grse.in,,"cbi_org_id=411024; matched on website grse.in (Garden Reach Shipbuilders & Engineers, Kolkata); listed (542011.BO), so funding and market cap left blank; CBI carries no founded year",CB Insights,2026-09-08
Gatik,363,,series_d,2026-08,,2017,Mountain View,gatik.ai,"Koch Disruptive Technologies, QIA, ARK Invest, Millennium Management",cbi_org_id=68176; matched on the $200M Series D in the headline (2026-08-25),CB Insights,2026-09-08
